title,artist,emotion,lyrics,youtube_url
Silent Echo 3,Stargazers,happy,Sunrise paints the pain away,https://youtube.com/watch?v=971351
Celestial Pulse 68,Stargazers,sad,Hearts collide like galaxies,https://youtube.com/watch?v=709029
Velvet Moon 18,Echoes,relaxed,"Dance under stars, wild and free",https://youtube.com/watch?v=975627
Shadows Fade 31,Static Flow,excited,Hearts collide like galaxies,https://youtube.com/watch?v=717457
Golden Hour 14,Solar Rain,happy,Peace in the quiet of your touch,https://youtube.com/watch?v=120272
Burning Horizon 29,Stargazers,sad,Chasing echoes of your name,https://youtube.com/watch?v=731203
Lost in Light 41,Echoes,happy,Peace in the quiet of your touch,https://youtube.com/watch?v=207382
Midnight Ride 31,Solar Rain,happy,Peace in the quiet of your touch,https://youtube.com/watch?v=176519
Lost in Light 95,Echoes,happy,Hearts collide like galaxies,https://youtube.com/watch?v=932739
Midnight Ride 88,Lunar Bloom,angry,"Dance under stars, wild and free",https://youtube.com/watch?v=108022
Midnight Ride 69,Solar Rain,angry,Hearts collide like galaxies,https://youtube.com/watch?v=648488
Silent Echo 9,Neon Drift,relaxed,Sunrise paints the pain away,https://youtube.com/watch?v=233943
Velvet Moon 56,Static Flow,sad,Sunrise paints the pain away,https://youtube.com/watch?v=143270
Velvet Moon 19,Solar Rain,happy,"Dance under stars, wild and free",https://youtube.com/watch?v=295910
Midnight Ride 64,Twilight Rush,neutral,Let the silence speak tonight,https://youtube.com/watch?v=961045
Electric Dreams 61,The Dreamers,excited,"Dance under stars, wild and free",https://youtube.com/watch?v=406114
Midnight Ride 64,Neon Drift,neutral,Let the silence speak tonight,https://youtube.com/watch?v=820667
Frostbite Heart 7,Static Flow,excited,Tears fall in rhythm with the rain,https://youtube.com/watch?v=989584
Lost in Light 67,Twilight Rush,relaxed,Hearts collide like galaxies,https://youtube.com/watch?v=821458
Velvet Moon 10,The Dreamers,neutral,"Fire in my soul, nothing to lose",https://youtube.com/watch?v=389448
Celestial Pulse 58,Lunar Bloom,angry,"Fire in my soul, nothing to lose",https://youtube.com/watch?v=262243
Whispers of Time 15,Stargazers,sad,I walk alone through shattered dreams,https://youtube.com/watch?v=784766
Whispers of Time 32,Static Flow,neutral,Peace in the quiet of your touch,https://youtube.com/watch?v=179911
Lost in Light 90,Twilight Rush,relaxed,Peace in the quiet of your touch,https://youtube.com/watch?v=992119
Whispers of Time 18,Solar Rain,excited,I walk alone through shattered dreams,https://youtube.com/watch?v=849608
Golden Hour 70,Static Flow,sad,Peace in the quiet of your touch,https://youtube.com/watch?v=951271
Whispers of Time 46,Neon Drift,neutral,Peace in the quiet of your touch,https://youtube.com/watch?v=145664
Electric Dreams 2,Lunar Bloom,excited,Sunrise paints the pain away,https://youtube.com/watch?v=454075
Electric Dreams 95,Stargazers,happy,"Dance under stars, wild and free",https://youtube.com/watch?v=476638
Whispers of Time 99,Echoes,relaxed,"Fire in my soul, nothing to lose",https://youtube.com/watch?v=280454
Lost in Light 44,Solar Rain,neutral,Rage like a thunderstorm inside,https://youtube.com/watch?v=566759
Electric Dreams 38,Twilight Rush,relaxed,Hearts collide like galaxies,https://youtube.com/watch?v=252284
Celestial Pulse 46,Solar Rain,relaxed,"Dance under stars, wild and free",https://youtube.com/watch?v=316325
Midnight Ride 29,Twilight Rush,sad,Tears fall in rhythm with the rain,https://youtube.com/watch?v=995184
Silent Echo 17,Stargazers,relaxed,Hearts collide like galaxies,https://youtube.com/watch?v=948424
Velvet Moon 14,Twilight Rush,relaxed,"Fire in my soul, nothing to lose",https://youtube.com/watch?v=670139
Crimson Sky 10,Stargazers,excited,"Fire in my soul, nothing to lose",https://youtube.com/watch?v=877440
Lost in Light 5,Neon Drift,neutral,Rage like a thunderstorm inside,https://youtube.com/watch?v=199779
Electric Dreams 68,Stargazers,angry,Chasing echoes of your name,https://youtube.com/watch?v=633811
Velvet Moon 50,The Dreamers,angry,"Dance under stars, wild and free",https://youtube.com/watch?v=542247
Celestial Pulse 40,Solar Rain,sad,Sunrise paints the pain away,https://youtube.com/watch?v=859908
Crimson Sky 46,Static Flow,sad,Chasing echoes of your name,https://youtube.com/watch?v=849287
Velvet Moon 79,Lunar Bloom,excited,"Fire in my soul, nothing to lose",https://youtube.com/watch?v=295194
Burning Horizon 86,Stargazers,relaxed,Sunrise paints the pain away,https://youtube.com/watch?v=983787
Shadows Fade 31,The Dreamers,relaxed,Sunrise paints the pain away,https://youtube.com/watch?v=401530
Frostbite Heart 70,Twilight Rush,relaxed,Hearts collide like galaxies,https://youtube.com/watch?v=605014
Midnight Ride 44,The Dreamers,neutral,I walk alone through shattered dreams,https://youtube.com/watch?v=394229
Electric Dreams 16,Solar Rain,sad,"Dance under stars, wild and free",https://youtube.com/watch?v=856035
Celestial Pulse 70,Stargazers,relaxed,"Fire in my soul, nothing to lose",https://youtube.com/watch?v=462822
Crimson Sky 72,Solar Rain,relaxed,Hearts collide like galaxies,https://youtube.com/watch?v=719878
Electric Dreams 49,Echoes,relaxed,Tears fall in rhythm with the rain,https://youtube.com/watch?v=944872
Burning Horizon 88,Twilight Rush,excited,Hearts collide like galaxies,https://youtube.com/watch?v=305049
Frostbite Heart 67,Twilight Rush,relaxed,Hearts collide like galaxies,https://youtube.com/watch?v=483132
Whispers of Time 93,Stargazers,relaxed,Tears fall in rhythm with the rain,https://youtube.com/watch?v=241156
