title,description,genre,duration,time_pref,emotion_tag,topic_tag,url
The Daily Brew,A sharp look at the modern work hustle and how to manage burnout.,Wellness,17 min,before bed,peaceful,AI,https://podcasts.example.com/the_daily_brew_813
Sleepy Time Stories,A roundup of daily news with a twist of humor and clarity.,Entertainment,48 min,after work,thoughtful,career,https://podcasts.example.com/sleepy_time_stories_416
Science Now,Unwind after work with calming discussions and thoughtful reflections.,Science,26 min,morning,calm,career,https://podcasts.example.com/science_now_760
Science Now,Boost your efficiency with productivity hacks from experts.,Technology,38 min,before bed,motivated,mental health,https://podcasts.example.com/science_now_750
Hustle Culture,"Deep and soulful discussions on love, loss, and finding balance.",News,49 min,before bed,thoughtful,self-help,https://podcasts.example.com/hustle_culture_301
Mindful Minutes,"Deep and soulful discussions on love, loss, and finding balance.",News,54 min,morning,energized,world-news,https://podcasts.example.com/mindful_minutes_401
Soulful Sessions,Discover fascinating tech trends shaping the future of innovation.,Mindfulness,27 min,after work,informed,self-help,https://podcasts.example.com/soulful_sessions_279
Science Now,"Deep and soulful discussions on love, loss, and finding balance.",Entertainment,26 min,after work,curious,biology,https://podcasts.example.com/science_now_928
The Daily Brew,Discover fascinating tech trends shaping the future of innovation.,Science,28 min,after work,calm,biology,https://podcasts.example.com/the_daily_brew_840
The Daily Brew,Explore the latest in scientific breakthroughs explained in simple terms.,News,54 min,morning,peaceful,self-help,https://podcasts.example.com/the_daily_brew_600
Soulful Sessions,A sharp look at the modern work hustle and how to manage burnout.,Motivation,28 min,after work,calm,AI,https://podcasts.example.com/soulful_sessions_264
The Daily Brew,"Deep and soulful discussions on love, loss, and finding balance.",Technology,44 min,before bed,thoughtful,mental health,https://podcasts.example.com/the_daily_brew_589
Mindful Minutes,Soothing stories and gentle conversations to help you sleep.,Entertainment,37 min,after work,calm,culture,https://podcasts.example.com/mindful_minutes_321
Sleepy Time Stories,Discover fascinating tech trends shaping the future of innovation.,Wellness,18 min,morning,energized,culture,https://podcasts.example.com/sleepy_time_stories_863
The Daily Brew,Discover fascinating tech trends shaping the future of innovation.,Science,15 min,before bed,peaceful,culture,https://podcasts.example.com/the_daily_brew_735
Mindful Minutes,Boost your efficiency with productivity hacks from experts.,Motivation,60 min,morning,calm,mental health,https://podcasts.example.com/mindful_minutes_882
